ScripCode,Symbol,NSE Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
NA,BAIDFIN,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BALAJITELE,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BALCO,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BALPHARMA,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BANKA,Y,A,EQ,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BASILIC,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BASML,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BBOX,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BGRENERGY,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BHAGERIA,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BIL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BINANIIND,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BIRDYS,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BIRLAMONEY,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,BPL,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,BURNPUR,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,1,0,100,100,100,,100,,,,
NA,CADSYS,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,CALSOFT,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CANARYS,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CAPTRUST,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CAREERP,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CCHHL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CELLECOR,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,CENTEXT,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,CEREBRAINT,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
