MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N7,990SCL26,SEC RE NCD 9.90% SR IV,       697.29,       799.00,       799.00,       738.00,       745.38,                   101732.56,132, ,13,      1150.00,       680.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1014.50,      1014.99,      1015.58,      1011.00,      1015.40,                  1561256.85,1538, ,8,      1015.58,       997.00
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1020.00,      1021.00,      1021.00,      1020.00,      1020.00,                   357100.00,350, ,3,      1100.00,       838.20
N,N8,739NHAI26,TAX FREE7.39% SR.IB,      1054.35,      1054.00,      1054.00,      1053.90,      1053.90,                    91696.80,87, ,2,      1109.90,      1010.10
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1149.55,      1144.05,      1144.05,      1144.05,      1144.05,                    57202.50,50, ,1,      1197.00,      1106.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1022.00,      1022.00,      1022.00,      1022.00,      1022.00,                    91980.00,90, ,4,      1066.00,       996.00
N,N8,920IIFLS26,SEC RE NCD 9.20% SR I,       955.00,       954.00,       954.00,       954.00,       954.00,                     9540.00,10, ,1,      1010.00,       826.00
N,N8,AEL120924B,SEC RE NCD SR VIII,      1015.00,      1015.00,      1015.00,      1015.00,      1015.00,                    10150.00,10, ,1,      1015.00,      1001.65
N,N8,IIFLZC25C,SEC RE NCD 0% SR.II,      1220.83,      1224.00,      1231.80,      1224.00,      1231.80,                   104625.00,85, ,3,      1232.00,      1058.81
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       930.00,       955.00,       955.00,       955.00,       955.00,                     4775.00,5, ,1,       970.00,       900.00
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1177.00,      1179.00,      1179.00,      1177.15,      1177.50,                    45952.15,39, ,6,      1227.50,      1133.05
